"filename", "language", "Sass", "Vue", "TypeScript", "JavaScript", "comment", "blank", "total"
"h:\仓库管理系统\vue-manage_sys\src\api\service.ts", "TypeScript", 0, 0, 21, 0, 0, 3, 24
"h:\仓库管理系统\vue-manage_sys\src\js\bigsheet.js", "JavaScript", 0, 0, 0, 253, 1, 18, 272
"h:\仓库管理系统\vue-manage_sys\src\js\editsheet.js", "JavaScript", 0, 0, 0, 319, 5, 21, 345
"h:\仓库管理系统\vue-manage_sys\src\js\fixsheet.js", "JavaScript", 0, 0, 0, 253, 1, 18, 272
"h:\仓库管理系统\vue-manage_sys\src\js\insheet.js", "JavaScript", 0, 0, 0, 254, 1, 18, 273
"h:\仓库管理系统\vue-manage_sys\src\js\originbook.js", "JavaScript", 0, 0, 0, 75, 0, 2, 77
"h:\仓库管理系统\vue-manage_sys\src\js\smalluser.js", "JavaScript", 0, 0, 0, 253, 1, 18, 272
"h:\仓库管理系统\vue-manage_sys\src\router\index.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 40
"h:\仓库管理系统\vue-manage_sys\src\style\bigsheet.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\style\editsheet.sass", "Sass", 86, 0, 0, 0, 1, 12, 99
"h:\仓库管理系统\vue-manage_sys\src\style\fixsheet.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\style\insheet.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\style\smalluser.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\views\BigSheetView.vue", "Vue", 0, 182, 0, 0, 6, 12, 200
"h:\仓库管理系统\vue-manage_sys\src\views\EditSheetView.vue", "Vue", 0, 206, 0, 0, 1, 14, 221
"h:\仓库管理系统\vue-manage_sys\src\views\FixSheetView.vue", "Vue", 0, 183, 0, 0, 6, 12, 201
"h:\仓库管理系统\vue-manage_sys\src\views\InSheetView.vue", "Vue", 0, 183, 0, 0, 6, 12, 201
"h:\仓库管理系统\vue-manage_sys\src\views\SmallUserView.vue", "Vue", 0, 183, 0, 0, 6, 12, 201
"Total", "-", 282, 937, 61, 1407, 39, 220, 2946
