"filename", "language", "Sass", "Vue", "TypeScript", "JavaScript", "comment", "blank", "total"
"h:\仓库管理系统\vue-manage_sys\src\App.vue", "Vue", 0, 3, 0, 0, 0, 4, 7
"h:\仓库管理系统\vue-manage_sys\src\api\index.ts", "TypeScript", 0, 0, 5, 0, 0, 2, 7
"h:\仓库管理系统\vue-manage_sys\src\api\service.ts", "TypeScript", 0, 0, 72, 0, 0, 9, 81
"h:\仓库管理系统\vue-manage_sys\src\components\AsideMenu.vue", "Vue", 0, 126, 0, 0, 0, 17, 143
"h:\仓库管理系统\vue-manage_sys\src\components\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 2
"h:\仓库管理系统\vue-manage_sys\src\js\bigsheet.js", "JavaScript", 0, 0, 0, 253, 1, 18, 272
"h:\仓库管理系统\vue-manage_sys\src\js\editsheet.js", "JavaScript", 0, 0, 0, 319, 5, 21, 345
"h:\仓库管理系统\vue-manage_sys\src\js\fixsheet.js", "JavaScript", 0, 0, 0, 253, 1, 18, 272
"h:\仓库管理系统\vue-manage_sys\src\js\insheet.js", "JavaScript", 0, 0, 0, 254, 1, 18, 273
"h:\仓库管理系统\vue-manage_sys\src\js\originbook.js", "JavaScript", 0, 0, 0, 319, 1, 19, 339
"h:\仓库管理系统\vue-manage_sys\src\js\smalluser.js", "JavaScript", 0, 0, 0, 253, 1, 18, 272
"h:\仓库管理系统\vue-manage_sys\src\main.ts", "TypeScript", 0, 0, 16, 0, 0, 4, 20
"h:\仓库管理系统\vue-manage_sys\src\router\index.ts", "TypeScript", 0, 0, 58, 0, 0, 5, 63
"h:\仓库管理系统\vue-manage_sys\src\shims-vue.d.ts", "TypeScript", 0, 0, 5, 0, 1, 1, 7
"h:\仓库管理系统\vue-manage_sys\src\store\index.ts", "TypeScript", 0, 0, 13, 0, 0, 2, 15
"h:\仓库管理系统\vue-manage_sys\src\style\bigsheet.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\style\editsheet.sass", "Sass", 86, 0, 0, 0, 1, 12, 99
"h:\仓库管理系统\vue-manage_sys\src\style\fixsheet.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\style\index.sass", "Sass", 80, 0, 0, 0, 1, 17, 98
"h:\仓库管理系统\vue-manage_sys\src\style\insheet.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\style\originbook.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\style\smalluser.sass", "Sass", 49, 0, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\views\BigSheetView.vue", "Vue", 0, 182, 0, 0, 6, 12, 200
"h:\仓库管理系统\vue-manage_sys\src\views\EditSheetView.vue", "Vue", 0, 206, 0, 0, 1, 14, 221
"h:\仓库管理系统\vue-manage_sys\src\views\FixSheetView.vue", "Vue", 0, 183, 0, 0, 6, 12, 201
"h:\仓库管理系统\vue-manage_sys\src\views\InSheetView.vue", "Vue", 0, 183, 0, 0, 6, 12, 201
"h:\仓库管理系统\vue-manage_sys\src\views\IndexView.vue", "Vue", 0, 174, 0, 0, 1, 19, 194
"h:\仓库管理系统\vue-manage_sys\src\views\OriginBookView.vue", "Vue", 0, 186, 0, 0, 6, 12, 204
"h:\仓库管理系统\vue-manage_sys\src\views\SmallUserView.vue", "Vue", 0, 183, 0, 0, 6, 12, 201
"Total", "-", 411, 1426, 169, 1653, 50, 338, 4047
