"filename", "language", "Vue", "JavaScript", "TypeScript", "Sass", "comment", "blank", "total"
"h:\仓库管理系统\vue-manage_sys\src\api\service.ts", "TypeScript", 0, 0, 7, 0, 0, 2, 9
"h:\仓库管理系统\vue-manage_sys\src\components\AsideMenu.vue", "Vue", -15, 0, 0, 0, 0, -6, -21
"h:\仓库管理系统\vue-manage_sys\src\js\bigsheet.js", "JavaScript", 0, -253, 0, 0, -1, -18, -272
"h:\仓库管理系统\vue-manage_sys\src\js\editsheet.js", "JavaScript", 0, 64, 0, 0, 3, 1, 68
"h:\仓库管理系统\vue-manage_sys\src\js\fixsheet.js", "JavaScript", 0, -253, 0, 0, -1, -18, -272
"h:\仓库管理系统\vue-manage_sys\src\js\insheet.js", "JavaScript", 0, -254, 0, 0, -1, -18, -273
"h:\仓库管理系统\vue-manage_sys\src\js\originbook.js", "JavaScript", 0, -26, 0, 0, 0, 6, -20
"h:\仓库管理系统\vue-manage_sys\src\router\index.ts", "TypeScript", 0, 0, 5, 0, 1, 0, 6
"h:\仓库管理系统\vue-manage_sys\src\style\bigsheet.sass", "Sass", 0, 0, 0, -49, -1, -12, -62
"h:\仓库管理系统\vue-manage_sys\src\style\fixsheet.sass", "Sass", 0, 0, 0, -49, -1, -12, -62
"h:\仓库管理系统\vue-manage_sys\src\style\insheet.sass", "Sass", 0, 0, 0, -49, -1, -12, -62
"h:\仓库管理系统\vue-manage_sys\src\style\smalluser.sass", "Sass", 0, 0, 0, -49, -1, -12, -62
"h:\仓库管理系统\vue-manage_sys\src\views\AllSumView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\BigSheetView.vue", "Vue", -182, 0, 0, 0, -6, -12, -200
"h:\仓库管理系统\vue-manage_sys\src\views\ClassifySheetsView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\CreateBookView.vue", "Vue", 10, 0, 0, 0, 0, 1, 11
"h:\仓库管理系统\vue-manage_sys\src\views\EditSheetView.vue", "Vue", 5, 0, 0, 0, 0, 0, 5
"h:\仓库管理系统\vue-manage_sys\src\views\FixSheetView.vue", "Vue", -183, 0, 0, 0, -6, -12, -201
"h:\仓库管理系统\vue-manage_sys\src\views\InDetailView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\InSheetView.vue", "Vue", -183, 0, 0, 0, -6, -12, -201
"h:\仓库管理系统\vue-manage_sys\src\views\InSumView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\IndexView.vue", "Vue", -43, 0, 0, 0, 0, -4, -47
"h:\仓库管理系统\vue-manage_sys\src\views\InventoryView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\OriginBookView.vue", "Vue", -77, 0, 0, 0, 0, -4, -81
"h:\仓库管理系统\vue-manage_sys\src\views\OutDetailView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\OutSumView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\SmallUserView.vue", "Vue", -183, 0, 0, 0, -6, -12, -201
"Total", "-", -851, -722, 12, -196, -27, -147, -1931
