"filename", "language", "Vue", "Sass", "TypeScript", "JavaScript", "comment", "blank", "total"
"h:\仓库管理系统\vue-manage_sys\src\App.vue", "Vue", 3, 0, 0, 0, 0, 4, 7
"h:\仓库管理系统\vue-manage_sys\src\api\index.ts", "TypeScript", 0, 0, 5, 0, 0, 2, 7
"h:\仓库管理系统\vue-manage_sys\src\api\service.ts", "TypeScript", 0, 0, 79, 0, 0, 11, 90
"h:\仓库管理系统\vue-manage_sys\src\components\AsideMenu.vue", "Vue", 111, 0, 0, 0, 0, 11, 122
"h:\仓库管理系统\vue-manage_sys\src\components\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 2
"h:\仓库管理系统\vue-manage_sys\src\js\editsheet.js", "JavaScript", 0, 0, 0, 383, 8, 22, 413
"h:\仓库管理系统\vue-manage_sys\src\js\originbook.js", "JavaScript", 0, 0, 0, 293, 1, 25, 319
"h:\仓库管理系统\vue-manage_sys\src\js\smalluser.js", "JavaScript", 0, 0, 0, 253, 1, 18, 272
"h:\仓库管理系统\vue-manage_sys\src\main.ts", "TypeScript", 0, 0, 16, 0, 0, 4, 20
"h:\仓库管理系统\vue-manage_sys\src\router\index.ts", "TypeScript", 0, 0, 63, 0, 1, 5, 69
"h:\仓库管理系统\vue-manage_sys\src\shims-vue.d.ts", "TypeScript", 0, 0, 5, 0, 1, 1, 7
"h:\仓库管理系统\vue-manage_sys\src\store\index.ts", "TypeScript", 0, 0, 13, 0, 0, 2, 15
"h:\仓库管理系统\vue-manage_sys\src\style\editsheet.sass", "Sass", 0, 86, 0, 0, 1, 12, 99
"h:\仓库管理系统\vue-manage_sys\src\style\index.sass", "Sass", 0, 80, 0, 0, 1, 17, 98
"h:\仓库管理系统\vue-manage_sys\src\style\originbook.sass", "Sass", 0, 49, 0, 0, 1, 12, 62
"h:\仓库管理系统\vue-manage_sys\src\views\AllSumView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\ClassifySheetsView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\CreateBookView.vue", "Vue", 10, 0, 0, 0, 0, 1, 11
"h:\仓库管理系统\vue-manage_sys\src\views\EditSheetView.vue", "Vue", 211, 0, 0, 0, 1, 14, 226
"h:\仓库管理系统\vue-manage_sys\src\views\InDetailView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\InSumView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\IndexView.vue", "Vue", 131, 0, 0, 0, 1, 15, 147
"h:\仓库管理系统\vue-manage_sys\src\views\InventoryView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\OriginBookView.vue", "Vue", 109, 0, 0, 0, 6, 8, 123
"h:\仓库管理系统\vue-manage_sys\src\views\OutDetailView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"h:\仓库管理系统\vue-manage_sys\src\views\OutSumView.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 575, 215, 181, 931, 23, 191, 2116
