"filename", "language", "Sass", "Vue", "JavaScript", "TypeScript", "comment", "blank", "total"
"h:\仓库管理系统\vue-manage_sys\src\api\service.ts", "TypeScript", 0, 0, 0, -21, 29, 0, 8
"h:\仓库管理系统\vue-manage_sys\src\components\AsideMenu.vue", "Vue", 0, 14, 0, 0, 2, 0, 16
"h:\仓库管理系统\vue-manage_sys\src\components\index.js", "JavaScript", 0, 0, -2, 0, 0, 0, -2
"h:\仓库管理系统\vue-manage_sys\src\js\classifysheets.js", "JavaScript", 0, 0, 50, 0, 0, 4, 54
"h:\仓库管理系统\vue-manage_sys\src\js\showclassify.js", "JavaScript", 0, 0, 45, 0, 0, 9, 54
"h:\仓库管理系统\vue-manage_sys\src\style\classifysheets.sass", "Sass", 0, 0, 0, 0, 0, 2, 2
"h:\仓库管理系统\vue-manage_sys\src\style\showclassify.sass", "Sass", 28, 0, 0, 0, 0, 2, 30
"h:\仓库管理系统\vue-manage_sys\src\views\ClassifySheetsView.vue", "Vue", 0, 40, 0, 0, 0, 2, 42
"h:\仓库管理系统\vue-manage_sys\src\views\CreateBookView.vue", "Vue", 0, -10, 0, 0, 0, -1, -11
"h:\仓库管理系统\vue-manage_sys\src\views\ShowClassifyView.vue", "Vue", 0, 48, 0, 0, 0, 1, 49
"Total", "-", 28, 92, 93, -21, 31, 19, 242
